ip,port,anonymityLevel,asn,country,isp,latency,org,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"142.93.109.23","58334","elite","AS14061","DE","DigitalOcean, LLC","23","DigitalOcean, LLC","socks5","3499","2","2023-10-15T18:33:05.941Z","74","3285","4464"
"113.160.16.142","5678","elite","AS45899","VN","VietNam Post and Telecom Corporation","295","Vietnam Posts and Telecommunications Group","socks4","5501","2","2023-10-15T18:42:48.745Z","94","4122","4404"
"173.212.224.116","50886","elite","AS51167","DE","Contabo GmbH","87","Contabo GmbH","socks5","4007","2","2023-10-15T18:14:11.141Z","100","4360","4378"
"115.78.6.117","5678","elite","AS7552","VN","VIETELftth","391","N/A","socks4","5109","2","2023-10-15T17:44:57.045Z","96","4177","4358"
"43.134.230.145","443","elite","AS132203","SG","Aceville Pte.ltd","379","N/A","socks5","4899","2","2023-10-15T17:13:53.444Z","93","4027","4340"
"43.153.168.234","443","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","285","Tencent Cloud Computing","socks5","4515","2","2023-10-15T18:35:38.546Z","67","2948","4404"
"150.107.207.137","57230","elite","AS58504","NP","Techminds Network Pvt. Ltd","192","N/A","socks4","5095","2","2023-10-15T17:24:08.148Z","98","4327","4409"
"180.210.222.229","1080","elite","N/A","US","Ipxo LLC","14","Ipxo","socks4","2009","2","2023-10-15T18:38:47.183Z","54","2383","4381"
"117.241.133.31","5678","elite","AS9829","IN","BSNL Internet","183","N/A","socks4","4806","2","2023-10-15T18:29:09.238Z","96","4210","4398"
"103.66.232.5","4145","elite","AS134014","IN","NET 4 U SERVICES","183","N/A","socks4","4897","2","2023-10-15T18:19:09.546Z","99","4295","4339"
"84.236.32.196","8080","elite","AS20845","HU","DIGI Tavkozlesi es Szolgaltato Kft.","34","Digi","socks4","4908","2","2023-10-15T18:21:19.054Z","69","2978","4325"
"180.120.179.118","44844","elite","AS4134","CN","Chinanet","287","Chinanet JS","socks5","605","2","2023-10-15T17:07:28.246Z","76","3307","4350"
"115.42.64.40","5678","elite","AS132165","PK","Connect Communication","187","Connect Communication","socks4","1692","2","2023-10-15T17:51:11.776Z","94","4071","4342"
"138.97.0.53","4145","elite","AS262346","BR","FP Telecomunicacoes Ltda","212","FP Telecomunicacoes Ltda","socks4","2301","2","2023-10-15T17:33:26.938Z","81","3552","4381"
"1.0.0.84","80","elite","AS13335","AU","Cloudflare, Inc","2","APNIC and Cloudflare DNS Resolver project","socks4","4793","2","2023-10-15T18:39:24.151Z","100","4384","4384"
"69.163.160.197","1645","elite","AS26347","US","New Dream Network, LLC","190","New Dream Network, LLC","socks4","5104","2","2023-10-15T18:17:56.143Z","100","4390","4391"
"202.159.35.121","443","elite","AS9340","ID","PT IndoInternet","173","N/A","socks4","4714","2","2023-10-15T18:35:56.453Z","100","4317","4323"
"106.110.140.87","2080","elite","AS4134","CN","Chinanet","216","Chinanet GD","socks4","4306","2","2023-10-15T18:44:13.645Z","60","2632","4375"
"117.241.132.95","5678","elite","AS9829","IN","BSNL Internet","199","N/A","socks4","5097","2","2023-10-15T17:51:11.778Z","96","4233","4402"
"190.15.247.231","5678","elite","AS27881","AR","Ipnext S.A.","287","Ipnext S.A","socks4","4698","2","2023-10-15T18:24:41.653Z","43","1875","4380"
"114.233.50.121","1080","elite","AS4134","CN","Chinanet","195","Chinanet JS","socks4","5108","2","2023-10-15T17:48:21.882Z","53","2332","4369"
"103.121.62.133","5678","elite","AS138146","BD","North Bengal Online","184","North Bengal Online","socks4","3105","2","2023-10-15T18:13:19.075Z","99","4354","4397"
"110.77.149.20","4153","elite","AS131090","TH","CAT-BB","281","N/A","socks4","5110","2","2023-10-15T18:21:33.988Z","79","3412","4313"
"186.251.255.233","31337","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","282","Seanet Telecom Carazinho Eireli","socks4","5008","2","2023-10-15T18:15:15.247Z","99","4287","4310"
"110.136.167.118","8080","elite","AS7713","ID","PT. TELKOM INDONESIA","199","N/A","socks5","4894","2","2023-10-15T18:47:41.151Z","79","3462","4366"
"43.153.52.178","443","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","199","Tencent Cloud Computing","socks5","3193","2","2023-10-15T17:50:18.941Z","62","2706","4382"
"8.42.68.249","39593","elite","AS399869","US","Mountain Broadband","187","Level 3, LLC","socks4","4789","2","2023-10-15T17:17:01.738Z","100","4341","4343"
"159.65.4.147","7497","elite","AS14061","SG","DigitalOcean, LLC","164","DigitalOcean, LLC","socks5","4611","2","2023-10-15T18:37:25.651Z","94","4100","4347"
"51.83.252.13","8888","elite","AS16276","PL","OVH SAS","88","OVH Sp. z o. o","socks4","5087","2","2023-10-15T18:17:08.577Z","100","4324","4324"
