"mark","model","mileage","transmission","registration","fuel","power","location","price"
Land-Rover,Discovery,"65305",Automatic,"03/2018",Diesel,"241",BE,35950
Audi,A6,"104686",Automatic,"04/2019",Diesel,"163",BE,35950
BMW,"230","9984",Automatic,"02/2023",Gasoline,"258",BE,49900
Mercedes-Benz,G 63 AMG,"26684",Automatic,"05/2021",Gasoline,"585",BE,225900
Jaguar,F-Type,"10580",Automatic,"04/2019",Gasoline,"300",BE,49950
Mercedes-Benz,CLS 300,"52917",Automatic,"02/2022",Diesel,"265",DE,61470
Audi,A3,"44629",Automatic,"03/2020",Gasoline,"190",DE,30730
Skoda,Karoq,"81254",Manual,"07/2019",Diesel,"116",BE,17990
Mercedes-Benz,GLE 350,"44478",Automatic,"12/2018",Diesel,"258",DE,48380
Audi,RS3,"11162",Automatic,"12/2021",Gasoline,"400",DE,63222
BMW,X6,"160000",Automatic,"09/2011",Diesel,"245",IT,18990
Mercedes-Benz,CLA 180,"105306",Automatic,"07/2017",Gasoline,"122",BE,18950
Ferrari,F430,"62000",Automatic,"05/2005",Gasoline,"489",IT,145000
Mercedes-Benz,CLA 250,"10254",Automatic,"09/2022",Gasoline,"224",DE,39770
Hyundai,KONA,"15857",Automatic,"03/2021",Electric,"136",DE,19879
Chevrolet,Camaro,"33000",Automatic,"03/2017",Gasoline,"275",DE,30390
Volkswagen,T-Roc,"37946",Automatic,"05/2020",Gasoline,"300",BE,37980
Volkswagen,Touareg,"69800",Automatic,"12/2016",Diesel,"204",DE,26980
Volkswagen,Golf GTD,"132000",Automatic,"09/2014",Diesel,"184",DE,16680
Mercedes-Benz,GLC 43 AMG,"110000",Automatic,"07/2018",Gasoline,"367",DE,38970
Jaguar,XF,"80900",Automatic,"07/2016",Diesel,"179",DE,19980
BMW,"220","7890",Automatic,"10/2022",Gasoline,"184",BE,42900
Porsche,"996","34205",Manual,"07/2003",Gasoline,"450",DE,58980
BMW,X3,"115000",Automatic,"06/2019",Diesel,"190",BE,31900
Mercedes-Benz,A 200,"90390",Automatic,"09/2017",Gasoline,"156",DE,17490
Volvo,XC60,"126447",Automatic,"07/2014",Diesel,"181",IT,15520
Audi,RS3,"0",Automatic,,Gasoline,"400",DE,85980
BMW,"520","240000",Automatic,"06/2014",Diesel,"184",IT,11900
Chevrolet,Volt,"132905",Automatic,"09/2011",Electric,"162",BE,9990
Audi,A6,"33237",Automatic,"10/2019",Gasoline,"340",DE,49920
Skoda,Superb,"140600",Automatic,"06/2016",Diesel,"190",DE,17780
BMW,Z4,"55257",Automatic,"04/2019",Gasoline,"258",DE,37644
Porsche,Macan,"73644",Automatic,"01/2017",Gasoline,"360",DE,54500
Audi,TT RS,"20400",Automatic,"12/2016",Gasoline,"500",DE,91980
Ford,Mustang,"14300",Automatic,"08/2020",Gasoline,"450",DE,43480
Audi,RS7,"99970",Automatic,"02/2020",Gasoline,"600",DE,93470
